Position,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSPerMin,GoldPerMin,KP%,DamagePercent,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,Solo Kills,FlashKeybind
Top,0.5,3.1,2.5,2.4,4.9,7.6,373,0.532,0.219,508,0.91,0.38,0.11,0.13,2,D
Adc,0.333,4.8,5,2,4.7,10.1,449,0.815,0.308,650,1.16,0.39,0.34,0.1,2,F
Support,0.2,1.5,0.2,4.4,6.2,1.2,233,0.622,0.079,173,3.59,1.91,0.52,0.49,0,D
Mid,0.5,2.4,3.5,3.2,4.2,8.7,418,0.592,0.266,612,1.54,0.58,0.32,0.18,3,D
Top,0.2,2.3,2.2,3,4.8,7.5,357,0.542,0.208,523,1.12,0.43,0.23,0.18,0,D
Adc,0.2,4.4,4.4,2,4.4,10,444,0.643,0.314,776,1.13,0.35,0.4,0.1,0,D
Top,0.667,4.2,4.3,2.3,5.2,8.1,413,0.555,0.216,552,1.07,0.45,0.18,0.19,4,D
Top,0.615,4.1,4.4,2.4,5.3,8.3,437,0.619,0.236,551,1.25,0.46,0.23,0.18,2,F
Top,0.375,3.7,3.4,2.5,5.9,8.2,399,0.623,0.222,501,1.24,0.45,0.23,0.15,1,D
Support,0.5,3.7,1.1,2.5,8.1,1.1,244,0.669,0.071,159,3.75,1.98,0.5,0.44,2,F
Top,0.5,1.7,2.1,4.1,4.9,8,381,0.52,0.223,503,1.06,0.41,0.23,0.16,3,D
Jungle,0.7,6.5,2,1.7,9,6.4,350,0.723,0.139,356,1.67,0.5,0.4,0.3,0,F
Mid,0.375,3.6,2.4,2.8,7.5,8.8,403,0.709,0.271,608,0.85,0.3,0.16,0.14,2,F
Jungle,0,1.5,0.5,4.3,6,5.4,293,0.622,0.152,296,1.58,0.53,0.35,0.33,0,D
Mid,0.7,7.8,5.3,1.4,5.6,9.5,449,0.734,0.276,671,1.52,0.46,0.45,0.19,3,F
Support,0.5,3.6,0.8,2.9,9.7,1,252,0.783,0.069,166,3.68,1.7,0.51,0.46,0,D
Mid,0.5,3.6,3.1,2.4,5.4,8.3,394,0.604,0.294,696,1.3,0.41,0.35,0.18,1,D
Support,0.615,3.7,0.5,3.2,11.3,1.2,246,0.751,0.067,157,4.25,2.39,0.52,0.63,0,D
Support,0.5,3.2,0.5,3.3,10,1.3,243,0.765,0.062,145,3.77,1.95,0.52,0.52,0,F
Top,0.5,2.9,3.2,3,5.5,7.9,389,0.619,0.195,447,1.12,0.42,0.22,0.23,1,F
Mid,0,2.4,3.5,3,3.8,8.4,386,0.74,0.305,581,0.98,0.45,0.21,0.24,0,D
Adc,0.375,3.4,3.9,2.4,4.3,9.2,407,0.703,0.255,574,0.9,0.38,0.24,0.11,1,D
Support,0.375,2.8,0.6,3.1,8.3,1.3,238,0.672,0.08,165,3.52,1.99,0.48,0.49,0,D
Adc,0.667,4.4,4.8,2.8,7.3,9.7,457,0.707,0.299,778,1.16,0.38,0.33,0.12,1,D
Jungle,0.2,1.8,1.2,3.6,5.4,5.9,320,0.682,0.135,278,1.7,0.41,0.45,0.4,0,D
Mid,0.375,3.2,2.8,2.4,4.8,8.9,392,0.577,0.215,482,1.06,0.37,0.25,0.19,0,D
Mid,0.875,4.8,4.6,2.4,6.8,7.9,414,0.691,0.234,575,1.22,0.38,0.31,0.12,2,F
Mid,0.2,1.3,3.6,4.2,1.8,8.8,405,0.607,0.312,678,0.9,0.38,0.15,0.23,2,D
Adc,0.625,7.2,5,1.6,6.8,9.8,453,0.688,0.31,702,1.11,0.26,0.38,0.07,1,D
Adc,0.875,9.1,4.6,1.3,6.8,10.3,486,0.716,0.3,696,1.22,0.4,0.39,0.16,0,F
Support,0.625,2.9,0.6,4.3,11.6,1.1,245,0.714,0.072,164,3.86,2.06,0.52,0.57,0,D
Adc,0.375,3.1,4.8,3.1,4.9,9.3,444,0.684,0.266,610,1.28,0.33,0.43,0.08,0,D
Mid,0.333,2.2,2.3,3.3,4.8,9.1,395,0.639,0.269,566,1.05,0.35,0.37,0.06,1,D
Top,0.5,2.5,2.5,2.9,4.7,7.4,388,0.556,0.2,480,1.03,0.41,0.16,0.17,3,D
Jungle,0.5,4.7,1.1,2.1,8.6,6.3,337,0.799,0.155,342,1.39,0.23,0.34,0.18,0,F
Adc,0.5,3.4,4,2.6,5,9.7,442,0.63,0.282,618,1.41,0.39,0.45,0.17,1,D
Support,0.333,2.9,0.7,3.2,8.5,1.1,233,0.8,0.067,149,3.29,1.71,0.43,0.44,0,F
Jungle,0.2,2.7,1.8,3.6,8,5.8,323,0.761,0.125,303,1.6,0.46,0.39,0.44,0,D
Support,0.875,7.5,0.8,1.8,12.4,1.2,267,0.803,0.094,229,3.94,2.43,0.41,0.6,0,F
Top,0.375,3.3,3.4,2.6,5.3,7.9,385,0.554,0.292,609,1.01,0.51,0.13,0.22,6,D
Top,0.7,3.8,2.6,2.5,6.8,7.9,386,0.641,0.227,554,1.11,0.41,0.2,0.19,5,F
Top,0.333,1.8,1.7,3.6,4.7,7.6,368,0.41,0.211,476,0.88,0.34,0.16,0.19,1,F
Mid,0.667,5,5.3,2.5,7.3,8.2,416,0.713,0.269,688,1.29,0.34,0.37,0.12,1,D
Support,0,2,1,3.5,6,1.1,225,0.672,0.094,182,3.72,2.37,0.45,0.51,0,D
Support,0.7,3.2,0.6,3.3,9.8,1.1,248,0.653,0.077,187,3.71,2.16,0.44,0.62,0,F
Jungle,0.375,2.3,2.3,3.6,6.1,6.3,342,0.585,0.158,356,1.54,0.38,0.42,0.22,1,F
Adc,0.615,6,4.9,1.8,5.7,9.8,450,0.707,0.274,637,1.08,0.33,0.36,0.09,0,D
Jungle,0.333,1.7,1.9,4.6,6,5.3,308,0.629,0.129,277,1.5,0.52,0.31,0.46,0,F
Mid,0.2,2.2,3.4,3.6,4.6,8.8,404,0.661,0.302,718,1.2,0.44,0.27,0.21,2,D
Adc,0.5,4.4,4.2,2.1,5,9.3,429,0.673,0.275,625,1.1,0.35,0.26,0.13,0,F
Support,0.5,3.1,0.4,3.1,9.4,1.2,242,0.716,0.07,161,3.58,1.73,0.59,0.52,0,D
Support,0.375,1.8,0.6,5.6,9.4,1,247,0.736,0.057,126,4.1,2.22,0.53,0.55,1,F
Support,0.333,1.9,0.4,5.1,9.2,1.1,237,0.798,0.07,149,3.9,2.22,0.58,0.63,0,D
Top,0.2,1.2,2.2,3.6,2.2,7.1,356,0.47,0.179,406,0.76,0.35,0.1,0.09,2,D
Adc,0.333,5.9,4.5,1.5,4.3,9.7,438,0.772,0.304,665,1.03,0.45,0.29,0.15,2,F
Support,0.667,2.7,0.4,4.3,11.1,1.1,249,0.66,0.06,150,4.08,2.36,0.57,0.67,0,D
Jungle,0.875,6.8,2.8,1.9,10,6.5,372,0.774,0.151,366,1.51,0.32,0.37,0.27,0,F
Top,0.333,2,2,3.5,4.8,7.3,352,0.572,0.168,364,1.02,0.39,0.23,0.17,2,D
Jungle,0.5,3.6,1,3.3,10.7,5.7,320,0.821,0.123,291,1.65,0.39,0.51,0.25,0,D
Adc,0.7,8.4,4.7,1.4,7.1,9.4,449,0.756,0.281,703,1.33,0.49,0.33,0.17,2,F
Mid,0.5,5.2,4,1.8,5.4,8.6,406,0.717,0.275,621,1.18,0.46,0.25,0.2,1,F
Jungle,0.333,3.1,2,3.2,7.8,6.5,343,0.849,0.192,412,1.66,0.33,0.47,0.15,1,D
Mid,0.625,9.3,4.3,1.3,7.4,9,430,0.692,0.239,536,1.21,0.31,0.32,0.17,0,F
Mid,0.333,3.1,3.6,2.7,4.8,8.2,390,0.66,0.282,621,1.43,0.53,0.32,0.25,3,F
Adc,0.2,1.6,2.6,4,3.8,9.4,416,0.648,0.295,631,1.24,0.36,0.44,0.12,3,F
Jungle,0.615,3.5,1.7,3.4,10.1,5.3,318,0.771,0.15,343,1.68,0.46,0.39,0.34,0,F
Jungle,0.5,4.4,2,2.3,7.9,6,332,0.704,0.135,306,1.74,0.51,0.43,0.38,0,F
Adc,0,1.8,1.8,3,3.8,9.5,385,0.505,0.243,463,1.06,0.45,0.27,0.2,1,F
Jungle,0.5,3.8,2.4,2.4,6.6,6.1,346,0.672,0.15,349,1.69,0.47,0.38,0.32,1,F
Adc,0.5,4.2,5.6,2.5,5,10.5,465,0.755,0.337,782,1.41,0.43,0.42,0.14,2,F
Jungle,0.333,3.1,1,4,11.3,5.5,330,0.806,0.171,440,1.74,0.49,0.43,0.43,0,F
Jungle,0.625,3.9,2.3,3.3,10.5,6,337,0.777,0.133,294,1.72,0.53,0.38,0.32,0,D
Top,0,1.6,3,3.3,2.3,8.1,371,0.543,0.206,394,0.96,0.3,0.31,0.16,0,F
Support,0.2,3.3,1,3.2,9.6,1,237,0.806,0.052,128,3.47,2.03,0.33,0.56,0,F
Mid,0.615,6.2,3.8,1.9,8.1,8.5,413,0.767,0.274,638,1.44,0.5,0.42,0.17,1,D
Jungle,0.778,5.3,2.4,2.4,10.6,6.2,358,0.738,0.15,391,1.58,0.37,0.41,0.35,0,D
Adc,0.5,4.9,3.8,1.8,5,10,448,0.675,0.316,731,1.37,0.42,0.41,0.16,0,D
Jungle,0.375,4.5,3.1,2.4,7.6,6.4,360,0.762,0.184,422,1.89,0.65,0.45,0.22,2,D
Mid,0.5,3.6,3.8,2.8,6.2,9.1,417,0.705,0.283,657,1.35,0.47,0.31,0.24,1,F
Top,0.875,7.1,3.9,1.6,7.6,7.9,420,0.698,0.222,539,1.06,0.39,0.18,0.19,2,F
Top,0.625,3.8,4.6,3.1,7.1,8.2,431,0.71,0.246,560,1.05,0.46,0.18,0.19,2,D
